ENTRYID,ENTRYTYPE,ENTRYNAME,TOTALRUN,TOTALWINS,PRE95ENTRYID
1043750,Jockey,"Charlie Bennett",2619,170,
781737,Jockey,"Marc Goldstein",1731,169,
1030385,Jockey,"Micheal Nolan",1442,164,
978776,Jockey,"Jonathan England",1245,163,
1031540,Jockey,"Ray Dawson",1366,162,
995198,Jockey,"George Downing",2246,159,
811539,Jockey,"David England",1478,158,
1011401,Jockey,"Jamie Hamilton",1384,158,
1106710,Jockey,"Darragh Keenan",1937,155,
1016187,Jockey,"Robert Tart",1309,149,
564433,Jockey,"Mr Simon Walker",855,148,564433
1013577,Jockey,"Bridget Andrews",973,148,
1081433,Jockey,"Harrison Shaw",1708,148,
957411,Jockey,"Ben Poste",2007,146,
1054049,Jockey,"Stan Sheppard",977,146,
1059179,Jockey,"Eoin Walsh",1766,139,
1095936,Jockey,"Adam McNamara",1304,138,
550913,Jockey,"Miss Serena Brotherton",867,134,
1042575,Jockey,"Charlie Hammond",1124,132,
1121441,Jockey,"Danny McMenamin",907,131,
1027107,Jockey,"Callum Bewley",1680,130,
1024601,Jockey,"Jamie Gormley",1460,128,
1042141,Jockey,"Jane Elliott",1491,128,
1054290,Jockey,"Ross Chapman",1130,128,
1047316,Jockey,"Thomas Dowson",1264,125,
1048186,Jockey,"Richard Patrick",854,124,
1032965,Jockey,"Rex Dingle",728,120,
1096936,Jockey,"Joshua Bryan",1138,119,
950447,Jockey,"Joanna Mason",1089,118,
1094950,Jockey,"Billy Garritty",984,118,
1041691,Jockey,"Page Fuller",942,108,
1100701,Jockey,"Ben Jones",749,108,
1054650,Jockey,"Harry Reed",979,107,
1122662,Jockey,"George Rooke",1298,107,
1115573,Jockey,"Connor Brace",718,105,
1092949,Jockey,"Theodore Ladd",1142,101,
1064578,Jockey,"Thomas Greatrex",937,100,
1122300,Jockey,"Thore Hammer Hansen",1004,98,
1068843,Jockey,"William Cox",1463,97,
1090250,Jockey,"Connor Murtagh",1368,97,
1080107,Jockey,"Sam Coltherd",1060,95,
1083320,Jockey,"Lorcan Williams",616,94,
1101072,Jockey,"Dylan Hogan",994,94,
989385,Jockey,"Paul O'Brien",859,93,
1102579,Jockey,"Rhys Clutterbuck",764,93,
1051689,Jockey,"Faye McManoman",1223,92,
938762,Jockey,"Nathan Moscrop",931,91,
1118802,Jockey,"Stefano Cherchi",791,91,
1009380,Jockey,"Stephen Mulqueen",1190,89,
1048666,Jockey,"Fergus Gregory",614,88,
1058679,Jockey,"Mitchell Bastyan",708,88,
1083109,Jockey,"Cameron Noble",743,88,
1040065,Jockey,"Sean Houlihan",1079,86,
827237,Jockey,"John Kington",1415,85,
1135134,Jockey,"Jack Tudor",626,85,
770669,Jockey,"Lucy Gardner",866,84,
982168,Jockey,"Miss Gina Andrews",501,84,
1018078,Jockey,"Jack Duern",1111,84,
1130622,Jockey,"Kevin Brogan",463,84,
1045531,Jockey,"Max Kendrick",670,83,
954851,Jockey,"Kevin Jones",761,82,
1116228,Jockey,"Saffie Osborne",714,82,
1132245,Jockey,"Laura Pearson",711,80,
1084514,Jockey,"Harry Russell",845,79,
1103532,Jockey,"Charlie Todd",578,79,
826546,Jockey,"Miss Becky Smith",686,78,
1110261,Jockey,"Oliver Stammers",678,77,
1112413,Jockey,"Bryan Carver",462,75,
993488,Jockey,"Kieron Edgar",634,74,
1096921,Jockey,"Pierre-Louis Jamin",656,72,
1071044,Jockey,"Jordan Nailor",558,71,
1108919,Jockey,"Mark Crehan",586,71,
1093506,Jockey,"Georgia Dobie",718,69,
1085498,Jockey,"William Carver",628,68,
909714,Jockey,"Mr William Biddick",399,67,
1046216,Jockey,"Paula Muir",964,67,
1056589,Jockey,"Lorcan Murtagh",775,67,
944221,Jockey,"Thomas Garner",730,66,
945867,Jockey,"Alex Edwards",565,66,
1005064,Jockey,"Conor Ring",951,66,
1121804,Jockey,"Benoit de la Sayette",360,66,
910415,Jockey,"Jonathon Bewley",601,65,
1111484,Jockey,"Grace McEntee",791,65,
772225,Jockey,"Mr David Maxwell",240,64,
1042395,Jockey,"Chester Williams",362,64,
1073863,Jockey,"Ben Sanderson",677,63,
1080216,Jockey,"Theo Gillard",565,63,
1126950,Jockey,"Sean Kirrane",509,62,
950569,Jockey,"Daniel Hiskett",643,60,
1031835,Jockey,"Ross Coakley",490,60,
1124048,Jockey,"Liam Harrison",361,60,
1057244,Jockey,"Rhiain Ingram",1003,56,
1034940,Jockey,"Miss Brodie Hampson",449,55,
1097324,Jockey,"Luca Morgan",346,55,
1128248,Jockey,"Fergus Gillard",386,54,
1108853,Jockey,"Angus Villiers",568,53,
1108930,Jockey,"George Bass",583,53,
1012162,Jockey,"Daniel Sansom",471,52,
1121058,Jockey,"Tyler Heard",705,52,
1043959,Jockey,"Harry Burns",492,50,
1033339,Jockey,"Tabitha Worsley",669,49,
1095237,Jockey,"Charlotte Jones",229,49,
1117166,Jockey,"Mollie Phillips",451,49,
1133230,Jockey,"Niall Houlihan",406,49,
1021927,Jockey,"Mr Zac Baker",287,48,
1098078,Jockey,"Tom Buckley",371,48,
1054671,Jockey,"Mr James King",351,47,
1069416,Jockey,"Mr Tommie M. O'Brien",295,47,
1117854,Jockey,"Andrew Breslin",734,47,
1146466,Jockey,"Frederick Larson",380,47,
1047111,Jockey,"Patrick Cowley",409,46,
1011812,Jockey,"George Buckell",413,45,
1077379,Jockey,"Charlie Price",431,45,
1082143,Jockey,"Isabel Williams",351,45,
1084868,Jockey,"Lilly Pinchin",336,45,
1135224,Jockey,"Callum Hutchinson",484,45,
1071529,Jockey,"Jonathan Fisher",583,44,
1104610,Jockey,"Ben Godfrey",344,44,
1153003,Jockey,"Oisin McSweeney",296,44,
942663,Jockey,"Mr John Dawson",507,43,
1050752,Jockey,"Hugh Nugent",339,42,
1102260,Jockey,"Thomas Willmott",436,42,
1169324,Jockey,"Ryan Sexton",322,42,
1109174,Jockey,"Gina Mangan",511,41,
978699,Jockey,"Mr Patrick Millman",332,40,
1056389,Jockey,"Mr Jack Andrews",279,40,
1107773,Jockey,"Philip Armson",425,40,
938224,Jockey,"Chris Ward",348,38,
558003,Jockey,"Mr Phillip York",436,37,
1032706,Jockey,"Laura Coughlan",465,37,
1065525,Jockey,"Aled Beech",664,37,
1071492,Jockey,"Alexander Thorne",282,37,
847560,Jockey,"Mr Ross Birkett",324,35,
1118051,Jockey,"Tom Midgley",301,35,
944597,Jockey,"Bruce Lynn",240,34,
1048728,Jockey,"Kieran Schofield",589,34,
957370,Jockey,"Amie Waugh",424,33,
1037234,Jockey,"Mr William Easterby",277,33,
1038146,Jockey,"Tyler Saunders",346,33,
1084351,Jockey,"Shane Quinlan",417,33,
1089105,Jockey,"Elisha Whittington",562,33,
1134298,Jockey,"Jonny Peate",331,33,
1138760,Jockey,"Christian Howarth",299,33,
1085849,Jockey,"Emma Smith-Chaston",245,32,
1100980,Jockey,"Zak Wheatley",350,30,
1112263,Jockey,"Harry Kimber",257,30,
1132326,Jockey,"Cillin Leonard",242,30,
1162696,Jockey,"Peter Kavanagh",176,30,
751581,Jockey,"Mr Darren Edwards",291,29,
1012224,Jockey,"Ellie MacKenzie",336,29,
1052220,Jockey,"Harrison Beswick",310,29,
1062725,Jockey,"Lewis Stones",323,29,
976947,Jockey,"Nick Slatter",355,28,
1084891,Jockey,"Luke Catton",288,28,
1096620,Jockey,"Angus Cheleda",174,28,
1097683,Jockey,"Abbie McCain",270,28,
